SERIALNO,SPORDER,PWGTP,SEX,RAC1P,AGEP,COW,JWMNP,JWRIP,JWTR,MAR,SCHG,SCHL
2.02E+12,1,51,1,1,68,7,10,,10,1,,21
2.02E+12,2,43,2,1,67,,,,,1,,21
2.02E+12,1,19,2,1,26,2,20,,4,5,,22
2.02E+12,1,14,2,1,73,,,,,5,,19
2.02E+12,1,18,2,1,75,,,,,2,,17
2.02E+12,1,21,2,9,32,1,40,,4,5,,21
2.02E+12,1,16,1,1,32,1,10,,7,5,,21
2.02E+12,1,22,1,1,71,1,,,11,1,,22
2.02E+12,2,25,2,1,70,,,,,1,,18
2.02E+12,1,13,2,1,31,3,40,,4,1,,22
2.02E+12,2,15,1,1,31,1,40,,4,1,,21
2.02E+12,3,18,2,1,0,,,,,5,,
2.02E+12,1,27,2,1,72,,,,,5,,21
2.02E+12,1,55,1,1,50,9,,,,5,,22
2.02E+12,1,27,2,1,43,1,60,,4,5,,21
2.02E+12,2,31,1,1,0,,,,,5,,
2.02E+12,3,30,1,1,45,7,,,,3,,21
2.02E+12,1,97,2,1,69,6,,,,3,,19
2.02E+12,2,137,1,1,55,6,5,,10,5,,21
2.02E+12,1,21,1,1,32,1,20,,4,1,,21
2.02E+12,2,20,2,1,29,1,15,,4,1,,22
2.02E+12,1,28,1,1,85,,,,,2,,23
2.02E+12,1,19,2,1,94,,,,,5,,20
2.02E+12,1,28,1,1,41,1,30,1,1,3,,22
2.02E+12,2,38,2,1,8,,,,,5,5,6
2.02E+12,1,25,2,1,81,,,,,3,,21
2.02E+12,1,84,2,1,46,1,25,,2,5,,22
2.02E+12,1,16,1,1,59,,,,,1,,16
2.02E+12,2,17,2,1,56,1,5,,10,1,,16
2.02E+12,1,89,2,1,72,,,,,3,,24
2.02E+12,1,27,1,1,57,1,,,,5,,22
2.02E+12,1,67,2,1,28,3,20,,4,5,,21
2.02E+12,1,85,2,1,69,1,30,,10,2,,22
2.02E+12,1,20,1,1,26,1,25,,4,5,,21
2.02E+12,2,20,2,1,27,1,40,,4,5,,21
2.02E+12,1,24,2,1,38,3,15,,10,1,,22
2.02E+12,2,24,1,1,38,1,45,,4,1,,21
2.02E+12,3,41,1,1,4,,,,,5,1,2
2.02E+12,4,41,1,1,2,,,,,5,,
2.02E+12,1,12,1,1,38,1,25,,4,1,,21
2.02E+12,2,14,2,1,38,1,10,,10,1,,21
2.02E+12,3,14,1,1,3,,,,,5,1,2
2.02E+12,4,15,1,1,1,,,,,5,,
2.02E+12,1,80,2,1,72,1,,,,3,,21
2.02E+12,1,29,2,6,77,,,,,2,,21
2.02E+12,1,29,2,1,75,,,,,3,,19
2.02E+12,1,50,1,1,76,7,,,11,3,,22
2.02E+12,1,25,2,1,75,,,,,2,,19
2.02E+12,1,27,2,1,68,,,,,5,,20
2.02E+12,1,30,2,1,68,6,,,,3,,22
2.02E+12,1,26,1,1,55,7,30,2,1,1,,21
2.02E+12,2,29,2,1,50,,,,,1,,21
2.02E+12,3,25,2,1,16,,,,,5,13,13
2.02E+12,1,14,2,1,55,1,25,,4,5,,21
2.02E+12,1,26,1,1,61,7,30,,4,1,,21
2.02E+12,2,26,2,1,60,,,,,1,,22
2.02E+12,1,97,2,9,25,1,5,,10,5,,23
2.02E+12,1,86,1,1,58,1,45,,5,3,,21
2.02E+12,1,30,2,1,69,6,,,11,5,,19
2.02E+12,1,25,2,1,61,,,,,3,,22
2.02E+12,1,92,2,1,43,1,30,,7,1,,22
2.02E+12,2,85,1,1,56,3,,,,1,,22
2.02E+12,3,92,2,1,2,,,,,5,,
2.02E+12,1,124,2,1,61,3,60,,5,5,,24
2.02E+12,1,68,2,1,94,,,,,2,,16
2.02E+12,1,3,1,1,70,2,,,11,5,,23
2.02E+12,1,10,2,1,80,,,,,5,,16
2.02E+12,1,78,2,1,27,1,25,,2,3,,16
2.02E+12,2,108,2,1,9,,,,,5,6,6
2.02E+12,1,23,1,1,65,,,,,1,,23
2.02E+12,2,28,2,1,67,,,,,1,,21
2.02E+12,3,29,2,1,29,1,15,,10,5,,21
2.02E+12,1,27,2,1,78,,,,,5,,21
2.02E+12,1,60,2,1,27,1,15,,10,5,,21
2.02E+12,1,21,2,6,20,,,,,5,15,18
2.02E+12,1,14,2,6,24,1,25,,4,5,,21
2.02E+12,1,42,2,1,33,1,40,,4,5,,21
2.02E+12,1,22,2,1,30,1,25,,10,5,,22
2.02E+12,1,82,2,1,83,,,,,3,,21
2.02E+12,1,81,1,6,32,1,25,,4,5,,24
2.02E+12,1,68,1,1,37,1,30,,4,1,,19
2.02E+12,2,53,2,1,33,1,40,,4,1,,21
2.02E+12,1,90,2,1,50,1,30,,7,5,,21
2.02E+12,2,83,1,1,6,,,,,5,3,3
2.02E+12,1,41,2,1,40,1,10,,10,5,,23
2.02E+12,2,55,2,1,6,,,,,5,2,3
2.02E+12,3,66,1,1,39,1,45,1,1,5,,23
2.02E+12,1,25,1,6,53,6,5,,10,1,,15
2.02E+12,2,30,2,6,39,6,5,,10,1,,13
2.02E+12,3,41,1,6,14,,,,,5,11,11
2.02E+12,4,42,1,6,12,,,,,5,9,9
2.02E+12,1,21,2,1,27,1,25,,10,5,,21
2.02E+12,2,22,1,1,28,2,,,,5,,23
2.02E+12,1,14,2,1,36,1,,,,1,,23
2.02E+12,2,15,1,1,36,7,,,,1,,21
2.02E+12,3,15,2,1,5,,,,,5,1,2
2.02E+12,4,16,1,1,3,,,,,5,1,2
2.02E+12,1,26,1,1,37,7,45,1,1,1,,23
2.02E+12,2,26,2,1,37,,,,,1,,21
2.02E+12,3,25,1,1,7,,,,,5,4,4
2.02E+12,4,29,1,1,4,,,,,5,1,2
2.02E+12,1,2,2,1,33,1,20,,4,5,,18
2.02E+12,1,48,2,1,44,1,40,,10,1,,21
2.02E+12,2,44,1,1,12,,,,,5,8,8
2.02E+12,3,43,1,1,8,,,,,5,5,5
2.02E+12,1,34,2,6,42,6,,,,1,,22
2.02E+12,2,36,1,1,47,6,20,,9,1,,22
2.02E+12,3,58,2,9,0,,,,,5,,
2.02E+12,1,21,1,1,29,6,8,,7,1,,22
2.02E+12,2,24,1,1,30,1,6,,7,1,,21
2.02E+12,1,25,2,1,36,1,45,,2,1,,21
2.02E+12,2,21,1,1,30,1,45,,4,1,,21
2.02E+12,1,24,1,1,31,5,40,,4,1,16,22
2.02E+12,2,21,2,1,27,1,,,,1,,21
2.02E+12,1,80,2,1,35,4,139,,4,5,,22
2.02E+12,1,42,1,8,45,1,20,,4,1,,21
2.02E+12,2,28,2,6,43,1,90,,4,1,,19
2.02E+12,1,39,1,1,50,1,20,,4,3,,21
2.02E+12,1,23,1,1,57,1,20,,7,1,,21
2.02E+12,2,24,2,1,58,1,5,,10,1,,22
2.02E+12,3,32,1,1,22,1,10,,10,5,15,19
2.02E+12,1,89,2,9,41,1,15,,4,5,,22
2.02E+12,1,43,2,1,88,,,,,2,,16
2.02E+12,1,48,1,1,85,,,,,1,,19
2.02E+12,2,46,2,1,67,,,,,1,,21
2.02E+12,1,23,1,1,64,1,,,,1,,23
2.02E+12,2,26,2,1,52,7,,,,1,,22
2.02E+12,3,30,1,1,25,2,30,,4,5,,21
2.02E+12,4,12,1,1,18,,,,,5,14,14
2.02E+12,1,29,1,1,81,1,,,11,1,,23
2.02E+12,2,28,2,1,81,,,,,1,,22
2.02E+12,1,8,1,1,39,5,25,,2,1,,22
2.02E+12,2,6,2,1,33,1,45,,2,1,15,21
2.02E+12,3,8,1,1,6,,,,,5,3,3
2.02E+12,4,10,1,1,4,,,,,5,,1
2.02E+12,5,9,1,1,0,,,,,5,,
2.02E+12,6,13,2,1,61,4,,,,1,,23
2.02E+12,1,20,2,1,29,1,30,,4,5,,21
2.02E+12,1,65,2,1,31,1,40,4,1,5,,21
2.02E+12,1,31,1,1,36,1,15,,4,1,,22
2.02E+12,2,32,2,1,41,5,30,,4,1,,22
2.02E+12,3,33,2,1,7,,,,,5,4,4
2.02E+12,4,34,1,1,4,,,,,5,1,2
2.02E+12,1,87,1,1,83,7,30,,7,1,,21
2.02E+12,1,11,2,2,85,,,,,4,,21
2.02E+12,1,23,1,6,34,1,10,,10,1,,24
2.02E+12,2,27,2,6,37,1,10,,10,1,,24
2.02E+12,3,45,2,6,3,,,,,5,1,1
2.02E+12,1,23,1,6,30,1,40,,4,1,,21
2.02E+12,2,17,2,6,29,1,35,,4,1,,21
2.02E+12,3,22,1,6,2,,,,,5,,
2.02E+12,1,47,2,6,49,1,10,,10,3,,21
2.02E+12,2,67,2,6,34,1,10,,10,5,,21
2.02E+12,1,28,2,1,66,1,30,1,1,3,,22
2.02E+12,1,44,1,1,60,1,55,1,1,1,,22
2.02E+12,2,49,2,1,50,1,45,,2,1,,22
2.02E+12,1,22,2,1,24,7,,,,5,15,19
2.02E+12,1,19,1,1,27,1,,,,5,,23
2.02E+12,1,20,2,1,29,2,15,,10,5,,22
2.02E+12,1,14,2,1,36,1,5,,10,1,,22
2.02E+12,2,14,1,1,35,1,20,,4,1,,22
2.02E+12,3,13,1,1,6,,,,,5,3,4
2.02E+12,4,16,1,1,3,,,,,5,1,2
2.02E+12,1,64,2,1,25,1,35,,4,5,,21
2.02E+12,1,19,2,1,54,1,25,,7,1,,22
2.02E+12,2,21,1,6,43,6,20,,2,1,,21
2.02E+12,3,14,2,9,7,,,,,5,3,3
2.02E+12,4,29,1,9,5,,,,,5,1,2
2.02E+12,1,31,2,6,79,,,,,5,,16
2.02E+12,1,23,2,1,64,1,45,,2,3,,16
2.02E+12,1,42,1,1,39,2,7,,10,3,,23
2.02E+12,1,77,2,1,74,6,,,,2,,23
2.02E+12,1,72,2,1,38,2,10,,10,1,,24
2.02E+12,2,72,1,1,41,1,30,,4,1,,21
2.02E+12,1,25,1,1,47,1,40,1,1,1,,22
2.02E+12,2,24,2,1,43,1,10,,7,1,,21
2.02E+12,3,22,1,1,13,,,,,5,9,9
2.02E+12,4,22,1,1,11,,,,,5,8,8
2.02E+12,1,15,2,1,21,1,13,,4,5,15,19
2.02E+12,1,160,1,1,29,1,40,,2,4,,23
2.02E+12,1,113,1,1,34,1,20,,4,1,,21
2.02E+12,2,106,2,1,34,1,15,,10,1,,21
2.02E+12,1,7,2,1,27,7,30,,4,5,,21
2.02E+12,2,8,1,1,30,1,,,11,5,,23
2.02E+12,1,33,1,1,44,,,,,5,,11
2.02E+12,1,38,2,9,49,1,35,,10,5,,20
2.02E+12,1,21,1,1,58,1,,,,2,,21
2.02E+12,1,26,1,1,67,1,20,,7,1,,21
2.02E+12,2,27,2,1,56,,,,,1,,21
2.02E+12,3,24,2,1,18,,,,,5,14,15
2.02E+12,1,16,2,1,68,2,,,,1,,24
2.02E+12,2,15,1,1,70,1,30,2,1,1,,23
2.02E+12,1,43,1,1,42,1,30,,4,1,,21
2.02E+12,2,45,2,1,43,1,45,1,1,1,,21
2.02E+12,1,19,1,2,59,,,,,1,,13
2.02E+12,1,22,1,1,24,1,,,,5,16,21
2.02E+12,2,29,2,1,26,2,60,,4,5,,23
2.02E+12,1,38,2,1,20,1,,,,5,15,19
2.02E+12,2,58,2,1,21,1,20,1,1,5,15,19
2.02E+12,1,18,1,1,58,1,20,,4,3,,23
2.02E+12,1,23,1,1,71,7,,,11,3,,24
2.02E+12,1,16,1,1,77,7,30,,4,3,,21
2.02E+12,2,15,2,1,72,1,,,,3,,21
2.02E+12,1,26,2,1,59,6,45,,4,3,,22
2.02E+12,1,125,1,1,43,1,15,,10,5,,22
2.02E+12,1,64,1,1,33,2,30,,4,5,,22
2.02E+12,1,21,1,1,33,1,30,,4,1,,21
2.02E+12,2,20,2,1,33,2,,,,1,,22
2.02E+12,3,27,2,1,0,,,,,5,,
2.02E+12,1,23,1,1,62,,,,,1,,22
2.02E+12,2,24,2,1,60,7,12,,10,1,,23
2.02E+12,3,29,1,1,14,,,,,5,10,10
2.02E+12,1,26,1,1,35,2,,,11,5,,22
2.02E+12,1,79,1,1,44,5,30,,4,1,,22
2.02E+12,2,88,2,6,41,5,30,,2,1,,22
2.02E+12,3,71,1,9,4,,,,,5,1,1
2.02E+12,4,71,1,9,2,,,,,5,,
2.02E+12,1,14,2,1,72,,,,,3,,21
2.02E+12,2,16,1,1,79,6,20,,10,3,,24
2.02E+12,1,26,2,1,56,1,20,,10,1,,21
2.02E+12,1,51,1,1,47,6,,,11,1,,22
2.02E+12,2,48,2,1,41,1,30,,4,1,,21
2.02E+12,3,44,1,1,12,,,,,5,9,9
2.02E+12,1,43,1,1,75,6,30,,4,1,,21
2.02E+12,2,37,2,1,61,2,40,2,1,1,,24
2.02E+12,3,73,1,1,15,,,,,5,12,12
2.02E+12,4,45,1,9,13,,,,,5,10,10
2.02E+12,1,27,2,1,76,,,,,2,,21
2.02E+12,1,28,1,1,80,6,30,,4,1,,22
2.02E+12,2,24,2,1,56,1,15,,7,1,,21
2.02E+12,1,27,2,1,88,7,,,,1,,21
2.02E+12,2,30,1,1,94,,,,,1,,18
2.02E+12,1,8,1,1,85,2,,,11,5,,22
2.02E+12,1,36,2,6,56,1,15,,10,5,,21
2.02E+12,2,39,2,6,32,1,30,,4,4,,20
2.02E+12,3,27,2,6,25,2,30,,5,5,,21
2.02E+12,1,201,2,1,62,2,50,,4,1,,22
2.02E+12,2,196,1,1,67,6,,,11,1,,21
2.02E+12,1,21,1,1,32,1,10,,10,1,,23
2.02E+12,2,19,2,1,28,1,,,,1,,22
2.02E+12,3,29,1,1,0,,,,,5,,
2.02E+12,1,77,2,1,50,1,65,,4,3,,22
2.02E+12,1,72,1,1,32,1,35,,4,1,,23
2.02E+12,2,67,2,1,32,1,,,,1,,20
2.02E+12,1,64,1,1,51,1,30,,4,1,,21
2.02E+12,2,75,2,1,48,1,30,,4,1,,21
2.02E+12,3,83,1,1,13,,,,,5,9,9
2.02E+12,4,97,2,1,8,,,,,5,4,4
2.02E+12,1,42,1,6,81,2,5,,10,1,,24
2.02E+12,2,30,2,6,78,2,,,,1,,21
2.02E+12,1,24,1,1,37,1,10,,7,1,,21
2.02E+12,2,26,2,1,36,1,,,,1,,21
2.02E+12,3,26,2,1,6,,,,,5,3,3
2.02E+12,4,27,1,1,4,,,,,5,1,1
2.02E+12,1,20,1,1,68,,,,,5,,13
2.02E+12,1,32,1,1,26,1,,,11,5,16,23
2.02E+12,1,27,1,1,65,1,15,,4,5,,21
2.02E+12,1,23,2,2,51,3,60,,5,1,,18
2.02E+12,1,26,1,1,74,6,60,,2,3,,18
2.02E+12,1,21,2,1,55,,,,,1,,21
2.02E+12,2,32,1,1,52,1,25,,7,1,,21
2.02E+12,3,36,1,1,17,,,,,5,13,14
2.02E+12,1,27,2,1,43,1,35,,4,5,,21
2.02E+12,1,24,2,9,28,2,40,,4,3,,18
2.02E+12,2,35,2,1,11,,,,,5,8,9
2.02E+12,3,42,2,1,0,,,,,5,,
2.02E+12,4,46,1,1,61,,,,,4,,10
2.02E+12,5,42,1,1,35,1,20,1,1,3,,21
2.02E+12,1,29,2,1,42,1,35,,10,1,,23
2.02E+12,2,29,1,1,42,1,20,,10,1,,22
2.02E+12,3,30,2,1,12,,,,,5,9,9
2.02E+12,4,27,1,1,10,,,,,5,7,7
2.02E+12,5,27,1,1,7,,,,,5,4,4
2.02E+12,1,73,1,1,64,7,60,,4,1,16,23
2.02E+12,2,76,2,1,55,1,139,2,1,1,,23
2.02E+12,1,19,1,1,27,1,,,,1,,22
2.02E+12,2,19,2,1,26,1,,,11,1,,22
2.02E+12,1,19,1,1,32,1,15,,4,1,,22
2.02E+12,2,22,2,1,29,5,20,,4,1,,22
2.02E+12,1,8,2,2,72,,,,,4,,22
2.02E+12,1,17,1,1,70,,,,,5,,21
2.02E+12,1,23,2,1,63,1,20,,2,1,,24
2.02E+12,2,23,1,1,63,1,30,,4,1,,21
2.02E+12,1,83,2,1,54,,,,,5,,21
2.02E+12,1,62,1,1,33,1,12,,7,1,,21
2.02E+12,2,58,2,1,32,1,,,,1,,23
2.02E+12,3,71,1,1,6,,,,,5,3,3
2.02E+12,4,77,2,1,1,,,,,5,,
2.02E+12,1,24,1,1,66,7,,,11,1,,23
2.02E+12,2,25,2,1,60,6,35,,4,1,,20
2.02E+12,1,74,1,1,48,7,35,,4,1,,18
2.02E+12,2,53,2,1,31,1,,,,1,,21
2.02E+12,3,70,2,1,3,,,,,5,1,2
2.02E+12,4,76,1,1,1,,,,,5,,
2.02E+12,1,98,1,1,90,,,,,1,,16
2.02E+12,2,91,2,1,94,,,,,1,,22
2.02E+12,1,18,2,1,68,,,,,1,,21
2.02E+12,2,20,1,1,76,,,,,1,,21
2.02E+12,1,41,1,6,62,5,35,,4,1,,22
2.02E+12,2,31,2,6,60,2,45,,4,1,,21
2.02E+12,1,91,2,6,40,7,,,11,1,,22
2.02E+12,1,18,1,1,71,,,,,3,,21
2.02E+12,1,26,2,1,76,7,,,,1,,21
2.02E+12,2,28,1,1,79,1,75,1,1,1,,23
2.02E+12,1,25,1,6,45,2,5,,10,1,,23
2.02E+12,2,30,2,1,49,6,30,1,1,1,,21
2.02E+12,3,21,2,8,10,,,,,5,7,7
2.02E+12,4,21,2,8,7,,,,,5,5,5
2.02E+12,1,25,2,1,64,1,,,11,1,,21
2.02E+12,2,25,1,1,71,,,,,1,,23
2.02E+12,1,25,2,1,63,1,35,,10,5,,21
2.02E+12,1,51,2,1,88,,,,,2,,18
2.02E+12,1,10,1,1,80,7,,,,1,,22
2.02E+12,2,10,2,1,73,6,,,,1,,24
2.02E+12,1,17,1,1,44,1,50,1,1,1,,21
2.02E+12,2,19,2,1,46,1,20,2,1,1,,22
2.02E+12,3,16,1,1,12,,,,,5,9,9
2.02E+12,4,18,2,1,8,,,,,5,4,4
2.02E+12,1,79,2,1,31,1,30,,7,5,,21
2.02E+12,1,70,2,2,71,,,,,5,,19
2.02E+12,1,9,1,6,35,2,45,,4,1,,24
2.02E+12,2,8,2,6,34,2,75,,4,1,,24
2.02E+12,1,10,2,1,86,,,,,5,,13
2.02E+12,1,25,2,1,81,1,25,,2,2,,23
2.02E+12,1,27,1,2,52,4,45,1,1,1,,18
2.02E+12,2,25,2,2,51,1,40,,2,1,,18
2.02E+12,3,44,1,2,25,3,75,,4,5,,16
2.02E+12,1,89,2,6,41,1,45,,4,3,,21
2.02E+12,1,17,1,1,20,1,,,,5,15,19
2.02E+12,1,91,2,1,49,6,20,,10,5,,21
2.02E+12,1,12,2,1,23,2,25,,2,5,,21
2.02E+12,2,21,1,1,24,1,20,1,1,5,,21
2.02E+12,1,58,2,1,79,,,,,2,,19
2.02E+12,1,35,1,1,52,6,,,,3,,18
2.02E+12,1,81,2,1,78,1,,,,2,,16
2.02E+12,1,27,2,1,70,,,,,5,,19
2.02E+12,1,68,1,1,70,7,45,,7,2,,23
2.02E+12,1,25,1,1,38,1,,,11,1,,20
2.02E+12,2,20,2,1,33,2,,,,1,,24
2.02E+12,3,26,2,1,2,,,,,5,,
2.02E+12,4,29,1,1,0,,,,,5,,
2.02E+12,1,33,2,2,35,3,40,,4,5,,21
2.02E+12,2,81,1,2,36,1,35,,4,5,,16
2.02E+12,1,14,2,6,18,,,,,5,15,16
2.02E+12,1,25,1,1,55,4,35,1,1,1,,24
2.02E+12,2,26,2,1,61,1,40,,2,1,,21
2.02E+12,1,8,1,2,21,1,2,,10,5,,16
2.02E+12,1,85,1,1,81,,,,,5,,21
2.02E+12,1,34,1,1,54,1,30,,2,1,,24
2.02E+12,2,26,2,1,53,,,,,1,,22
2.02E+12,3,13,1,1,18,,,,,5,14,15
2.02E+12,4,22,2,1,16,,,,,5,12,13
2.02E+12,1,92,1,1,38,1,25,,2,5,,20
2.02E+12,2,84,1,9,0,,,,,5,,
2.02E+12,3,103,2,6,40,1,45,,4,5,,22
2.02E+12,1,28,2,1,66,1,20,,10,5,,16
2.02E+12,1,58,1,1,52,1,25,,10,1,,23
2.02E+12,2,44,2,1,51,1,20,,10,1,,22
2.02E+12,3,66,1,1,15,,,,,5,11,11
2.02E+12,1,34,2,6,56,2,25,,10,5,,23
2.02E+12,2,44,2,6,80,,,,,2,,21
2.02E+12,1,10,2,1,48,,,,,5,,13
2.02E+12,1,26,2,1,53,2,20,,7,5,,19
2.02E+12,2,39,2,1,82,,,,,2,,16
2.02E+12,1,55,2,1,49,,,,,1,,21
2.02E+12,2,70,1,1,50,1,15,,10,1,,22
2.02E+12,3,49,1,1,12,,,,,5,9,9
2.02E+12,4,49,1,1,9,,,,,5,5,5
2.02E+12,1,12,1,9,39,1,60,,4,1,,22
2.02E+12,2,9,2,1,41,5,30,,4,1,,22
2.02E+12,3,16,2,9,3,,,,,5,1,2
2.02E+12,4,20,1,9,1,,,,,5,,
2.02E+12,1,43,1,1,48,1,,,,5,,21
2.02E+12,1,37,1,1,69,,,,,5,,21
2.02E+12,1,16,2,1,20,,,,,5,15,16
2.02E+12,1,28,1,1,94,,,,,1,,23
2.02E+12,2,26,2,1,89,,,,,1,,21
2.02E+12,1,20,2,1,33,1,45,,4,5,,22
2.02E+12,2,32,2,1,30,1,45,,4,5,,21
2.02E+12,1,36,1,1,50,1,15,,10,1,,21
2.02E+12,2,29,2,1,46,,,,,1,,21
2.02E+12,1,27,2,1,84,,,,,2,,22
2.02E+12,1,128,1,8,47,7,,,,5,,23
2.02E+12,2,131,1,2,47,1,,,,5,,20
2.02E+12,1,32,2,1,32,2,40,,4,5,,22
2.02E+12,1,20,2,6,68,,,,,1,,17
2.02E+12,2,44,1,6,73,,,,,1,,15
2.02E+12,1,5,1,1,70,2,,,11,5,,23
2.02E+12,1,18,2,1,25,1,45,,4,5,,21
2.02E+12,1,17,1,1,58,1,15,1,1,1,,23
2.02E+12,2,18,2,1,60,8,15,,4,1,,21
2.02E+12,3,15,2,1,18,1,,,,5,14,14
2.02E+12,1,39,2,1,53,1,40,,4,5,,21
2.02E+12,1,39,2,1,24,1,40,,4,5,,22
2.02E+12,2,85,2,1,28,1,40,,4,5,,22
2.02E+12,1,15,2,1,76,3,40,,2,2,,24
2.02E+12,2,23,2,1,39,3,40,,2,5,,23
2.02E+12,1,6,1,1,26,1,60,,4,5,,22
2.02E+12,2,8,2,1,25,1,,,,5,16,22
2.02E+12,1,30,2,1,46,1,,,,1,,21
2.02E+12,2,30,1,1,46,1,25,,4,1,,22
2.02E+12,3,26,1,1,8,,,,,5,4,5
2.02E+12,4,29,2,1,5,,,,,5,1,2
2.02E+12,1,28,1,1,91,,,,,5,,22
2.02E+12,1,23,2,1,33,1,30,,10,5,,23
2.02E+12,1,35,1,1,29,1,20,,4,5,,21
2.02E+12,1,14,2,1,55,1,30,,4,1,,21
2.02E+12,2,15,2,1,54,3,40,1,1,1,,22
2.02E+12,3,13,2,1,15,,,,,5,12,12
2.02E+12,1,63,1,1,28,1,40,,4,5,16,21
2.02E+12,1,86,2,1,65,,,,,3,,16
2.02E+12,1,15,2,6,21,,,,,5,15,19
2.02E+12,1,19,2,1,30,5,20,,10,5,,22
2.02E+12,1,59,1,1,34,1,25,,4,1,,21
2.02E+12,2,74,2,1,37,1,40,,4,1,,24
2.02E+12,3,75,2,1,6,,,,,5,3,3
2.02E+12,4,76,2,1,5,,,,,5,1,2
2.02E+12,1,8,1,9,52,1,,,11,5,,23
2.02E+12,1,30,2,1,29,1,45,,4,5,,21
2.02E+12,2,31,1,1,28,1,45,,4,5,,21
2.02E+12,1,14,1,1,58,,,,,5,,10
2.02E+12,1,25,1,1,73,,,,,1,,23
2.02E+12,2,29,2,1,69,1,5,,10,1,,22
2.02E+12,1,28,2,1,51,1,30,,7,5,,21
2.02E+12,1,22,1,1,27,1,45,,4,5,,21
2.02E+12,2,32,2,1,29,1,30,,2,1,,21
2.02E+12,3,44,1,8,21,2,,,,1,,19
2.02E+12,1,28,1,1,79,,,,,1,,23
2.02E+12,2,26,2,1,79,,,,,1,,22
2.02E+12,1,26,2,1,69,2,65,,4,3,,22
2.02E+12,1,30,1,1,27,1,5,,10,1,,19
2.02E+12,2,31,2,1,26,1,20,,4,1,16,21
2.02E+12,1,80,1,1,49,1,35,,4,5,,22
2.02E+12,1,62,2,1,22,2,5,,10,5,,21
2.02E+12,1,24,1,1,31,1,30,,4,5,,21
2.02E+12,1,33,2,6,65,1,30,,2,1,,23
2.02E+12,1,27,1,1,55,1,20,,10,1,,23
2.02E+12,2,27,2,1,49,,,,,1,,21
2.02E+12,3,26,2,1,10,,,,,5,7,8
2.02E+12,1,24,1,1,32,1,20,,4,1,,21
2.02E+12,2,18,2,1,28,6,30,,10,1,,21
2.02E+12,1,54,2,1,85,,,,,3,,23
2.02E+12,1,2,2,1,17,,,,,5,14,14
2.02E+12,1,73,2,6,33,1,20,,9,1,,21
2.02E+12,2,71,1,6,34,1,20,,2,1,,21
2.02E+12,1,43,1,1,48,1,50,,4,1,,21
2.02E+12,2,40,2,1,50,1,25,,10,1,,21
2.02E+12,3,41,2,1,14,,,,,5,11,11
2.02E+12,1,21,1,1,27,1,35,,4,5,,21
2.02E+12,1,12,1,1,29,1,15,,2,1,,23
2.02E+12,2,11,2,1,29,1,,,,1,,21
2.02E+12,3,18,1,1,0,,,,,5,,
2.02E+12,1,41,2,1,43,3,32,,4,3,,23
2.02E+12,2,40,2,1,2,,,,,5,,
2.02E+12,3,40,2,1,1,,,,,5,,
2.02E+12,1,25,2,1,49,2,80,,5,1,,23
2.02E+12,2,23,1,1,58,7,,,11,1,,23
2.02E+12,3,36,1,1,17,,,,,5,14,14
2.02E+12,4,36,1,1,16,1,20,,10,5,13,13
2.02E+12,1,42,2,1,22,1,,,,5,15,19
2.02E+12,1,25,1,1,23,1,45,,4,5,15,21
2.02E+12,2,15,2,1,24,2,40,,4,5,16,21
2.02E+12,1,30,1,1,85,,,,,2,,16
2.02E+12,1,41,1,1,37,1,25,,4,5,,22
2.02E+12,2,28,2,6,28,2,15,,10,5,16,21
2.02E+12,1,51,1,6,64,1,,,,5,,22
2.02E+12,1,30,1,1,45,4,30,,4,1,,22
2.02E+12,2,30,2,1,46,,,,,1,,20
2.02E+12,1,18,2,6,26,1,50,,4,5,,21
2.02E+12,2,25,1,8,29,1,30,,4,3,16,22
2.02E+12,1,18,2,1,48,1,20,2,1,1,,21
2.02E+12,2,15,1,1,53,1,20,2,1,1,,23
2.02E+12,3,17,2,1,11,,,,,5,8,8
2.02E+12,1,27,2,1,68,6,,,,3,,16
2.02E+12,2,42,2,1,35,1,25,,4,5,,21
2.02E+12,1,26,1,1,37,1,15,,10,5,,22
2.02E+12,1,229,2,1,50,1,45,,4,3,,16
2.02E+12,1,57,2,1,25,1,25,,4,5,,23
2.02E+12,2,60,1,1,26,1,20,,2,5,,21
2.02E+12,1,22,1,1,25,1,60,,5,5,,21
2.02E+12,2,33,1,1,26,2,40,,4,5,,21
2.02E+12,1,36,1,1,65,1,15,,10,1,,24
2.02E+12,2,27,2,1,63,,,,,1,,22
2.02E+12,3,45,2,1,90,,,,,2,,8
2.02E+12,1,20,1,1,26,7,15,,12,5,,21
2.02E+12,2,27,2,8,25,,,,,5,16,19
2.02E+12,1,31,1,9,29,1,30,,4,5,,24
2.02E+12,1,80,2,1,85,,,,,2,,21
2.02E+12,1,42,1,6,30,1,10,,10,5,,23
2.02E+12,1,27,1,1,77,,,,,1,,21
2.02E+12,2,26,2,1,70,,,,,1,,21
2.02E+12,1,24,2,1,60,,,,,1,,21
2.02E+12,2,24,1,1,60,1,25,,7,1,,22
2.02E+12,3,30,1,1,26,1,45,,4,5,,21
2.02E+12,1,83,2,1,47,7,,,,1,,21
2.02E+12,2,86,1,1,46,1,,,,1,,22
2.02E+12,3,74,1,1,5,,,,,5,1,2
2.02E+12,1,15,2,1,50,1,45,,4,1,,21
2.02E+12,2,15,1,1,55,6,15,,4,1,,22
